to_currency,from_currency,Value
ADD,FRF,1.0000000000000
ADP,ESP,1.0000000000000
AED,BHD,1.0000000000000
AED,XPGR,1.0000000000000
AED,XQDR,1.0000000000000
AFA,AFR,1.0000000000000
AFAD,AFA,0.5000000000000
AFAR,AFA,1.0000000000000
AFAR,AFAD,2.0000000000000
AFN,AFA,1000.0000000000000
AFN,AFAD,2000.0000000000000
AFN,AFAR,1000.0000000000000
AIF,DJA,1.0000000000000
ALF,HUP,0.4000000000000
ALF,ITL,1.3320000000000
ALK,ALF,0.2000000000000
ALL,ALK,10.0000000000000
ALV,ALL,500.0000000000000
ALX,ALL,1.0000000000000
AMD,RUR,200.0000000000000
AMD,SUR,200.0000000000000
ANG,NLG,1.0000000000000
AOA,AON,1000000000.0000000000000
AOA,AOR,1000000.0000000000000
AOK,AOS,1.0000000000000
AON,AOK,1.0000000000000
AOR,AON,1000.0000000000000
AOS,AOA,1.0000000000000
ARA,ARP,1000.0000000000000
ARL,ARM,100.0000000000000
ARM,ARG,0.4400000000000
ARP,ARL,10000.0000000000000
ARS,ARA,10000.0000000000000
ATS,ATO,3.0000000000000
AUD,AUP,0.5000000000000
AWG,ANG,1.0204081630000
AZM,RUR,10.0000000000000
AZN,AZM,5000.0000000000000
AZN,RUR,50000.0000000000000
BAD,YUR,1.0000000000000
BAM,DEM,1.0000000000000
BAN,BAD,10000.0000000000000
BASN,YUN,1.0000000000000
BASO,BASN,1000000.0000000000000
BASO,YUR,1.0000000000000
BBD,XCD,1.0000000000000
BDT,PKR,1.0000000000000
BGL,BGM,10.0000000000000
BGM,BGO,100.0000000000000
BGN,BGL,1000.0000000000000
BHD,USD,2.1000000000000
BHD,XPGR,10.0000000000000
BHS,USD,0.3426573430000
BIF,BRIF,1.0000000000000
BMD,BMP,2.4000000000000
BMP,GBP,1.0000000000000
BNBD,SWKD,1.0000000000000
BND,MYR,1.0000000000000
BOB,BOP,1000000.0000000000000
BOL,BOF,1.0000000000000
BOP,BOL,1000.0000000000000
BRB,BRZ,1000.0000000000000
BRC,BRN,1000.0000000000000
BRE,BRS,1.0000000000000
BRIF,CBEF,1.0000000000000
BRL,BRE,2750000.0000000000000
BRL,BRR,2750.0000000000000
BRN,BRC,1000.0000000000000
BRR,BRE,1000.0000000000000
BRZ,BRM,1.0000000000000
BSD,BSP,2.8600000000000
BSD,USD,0.9800000000000
BSP,GBP,1.0000000000000
BTN,BTR,1.0000000000000
BTN,INR,1.0000000000000
BTR,INR,1.0000000000000
BUR,INR,1.0000000000000
BWP,ZAR,1.0000000000000
BYB,BYL,10.0000000000000
BYL,RUR,1.0000000000000
BYN,BYR,10000.0000000000000
BYR,BYB,1000.0000000000000
BYR,BYL,10000.0000000000000
BYR,RUR,10000.0000000000000
BYR,SUR,10000.0000000000000
BZD,BZH,1.0000000000000
BZH,USD,1.0000000000000
CAD,USD,1.0000000000000
CBEF,BEF,1.0000000000000
CDF,ZRN,100000.0000000000000
CDF,ZRZ,300000000000.0000000000000
CDG,CBEF,1.0000000000000
CDZ,CDG,1000.0000000000000
CFF,XEF,1.0000000000000
CHF,FRF,1.0000000000000
CKD,NZD,1.0000000000000
CLE,CLC,1000.0000000000000
CLP,CLE,1000.0000000000000
CMF,XEF,1.0000000000000
CNY,CNP,10000.0000000000000
COF,XEF,1.0000000000000
COP,XULF,5.0000000000000
CRC,CRP,1.0000000000000
CSD,YUM,1.0000000000000
CSK,CSC,5.0000000000000
CSX,CSK,1.0000000000000
CUP,ESP,5.0000000000000
CUP,USD,1.0000000000000
CUX,USD,1.0000000000000
CVE,CVM,1000.0000000000000
CVE,PTE,1.0000000000000
CYP,GBP,1.0000000000000
CZK,CSK,1.0000000000000
DDK,DEM,0.8000000000000
DDM,DDK,1.0000000000000
DDM,DEM,0.8000000000000
DEM,DER,10.0000000000000
DHF,XOF,1.0000000000000
DJF,AIF,1.0000000000000
DKK,DKR,0.5000000000000
DKK,GLK,1.0000000000000
DKK,XSMK,1.0000000000000
DOP,DOS,5.0000000000000
DOP,USD,1.0000000000000
DZD,DZF,1.0000000000000
DZF,DZG,100.0000000000000
DZF,FRF,1.0000000000000
DZG,FRF,0.0100000000000
ECS,ECP,1.0000000000000
EEK,DEM,0.1250000000000
EEK,SUR,10.0000000000000
EGP,DZG,1005.1282050000000
EHP,ESP,1.0000000000000
ERN,ETB,1.0000000000000
ESE,FRG,0.4000000000000
ESP,ESE,2.5000000000000
ESP,FRG,1.0000000000000
ETB,ETD,1.0000000000000
ETD,ETT,0.6670000000000
ETD,XEAS,2.0000000000000
EUR,ATS,13.7603000000000
EUR,BEF,40.3399000000000
EUR,CSK,30.1260000000000
EUR,CYP,0.5850000000000
EUR,DEM,1.9588300000000
EUR,EEK,15.6466000000000
EUR,ESP,166.3860000000000
EUR,FIM,5.9457300000000
EUR,FRF,6.5595700000000
EUR,GRD,340.7500000000000
EUR,IEP,0.7875640000000
EUR,ITL,1936.2700000000000
EUR,LTL,3.4528000000000
EUR,LUF,40.3399000000000
EUR,LVL,0.7028000000000
EUR,MTL,0.4293000000000
EUR,NLG,2.2037100000000
EUR,PTE,200.4820000000000
EUR,SIT,239.5960000000000
EUR,SKK,30.1260000000000
FIM,FIN,100.0000000000000
FIN,FRG,1.0000000000000
FJD,FJP,0.5000000000000
FJP,GBP,1.0000000000000
FKP,GBP,1.0000000000000
FOK,DKK,1.0000000000000
FRF,FRG,100.0000000000000
FRF,ICFP,0.1000000000000
FRF,REN,1.0000000000000
FRF,XCF,1.0000000000000
FRF,XCOF,1.0000000000000
FRF,XNF,1.0000000000000
FRF,XRF,1.0000000000000
FRG,XPF,0.4166666670000
GAF,XEF,1.0000000000000
GBP,DZG,980.0000000000000
GBP,EGP,0.9750000000000
GBP,XPGR,21.0000000000000
GBP,XSS,20.0000000000000
GEK,RUR,1.0000000000000
GEL,GEK,1000000.0000000000000
