Source,Target
4,1001
8,1003
12,1004
20,1006
24,1007
31,1016
32,1011
36,1014
36,1121
36,1155
36,1233
40,1015
44,1017
48,1018
50,1019
51,1012
52,1020
56,1022
60,1025
64,1026
68,1027
70,1029
72,1030
76,1032
84,1023
90,1208
96,1035
100,1036
104,1153
108,1038
112,1021
116,1040
124,1042
132,1039
136,1043
144,1214
152,1046
156,1047
170,1052
174,1053
180,1064
188,1056
191,1058
192,1059
196,1061
200,1255
203,1062
208,1065
208,1092
214,1068
218,1069
222,1071
226,1072
230,1076
230,1257
232,1073
233,1074
238,1077
242,1079
246,1080
250,1081
262,1066
270,1086
276,1088
278,1259
288,1089
292,1090
300,1091
320,1096
324,1098
328,1100
332,1101
340,1104
344,1048
348,1105
352,1106
356,1107
360,1108
364,1109
368,1110
372,1111
376,1113
380,1114
388,1115
392,1116
398,1119
400,1118
404,1120
408,1063
410,1182
414,1123
417,1124
418,1125
422,1127
426,1128
428,1126
430,1129
434,1130
440,1132
442,1133
446,1049
450,1134
454,1135
458,1136
462,1137
466,1138
470,1139
478,1142
480,1143
484,1145
496,1148
498,1183
504,1151
508,1152
512,1168
516,1154
524,1156
528,1157
532,1060
532,1205
532,1263
533,1013
548,1245
554,1055
554,1159
558,1160
566,1162
578,1167
586,1169
590,1172
598,1173
600,1174
604,1175
608,1176
616,1178
620,1179
624,1099
626,1224
634,1181
642,1185
643,1186
646,1187
654,1189
678,1197
682,1199
690,1202
694,1203
702,1204
703,1206
704,1247
705,1207
706,1209
710,1210
716,1252
720,1256
724,1213
728,1212
736,1267
740,1216
748,1075
752,1218
756,1131
756,1219
760,1220
762,1222
764,1223
776,1227
780,1228
784,1236
788,1229
792,1230
795,1231
800,1234
804,1235
807,1165
818,1070
826,1237
834,1238
840,1034
840,1069
840,1071
840,1140
840,1146
840,1170
840,1171
840,1180
840,1224
840,1232
840,1241
858,1243
860,1244
862,1246
882,1195
886,1250
886,1271
890,1272
891,1272
894,1251
901,1221
928,1246
929,1142
930,1197
932,1252
933,1021
934,1231
935,1252
936,1089
937,1246
938,1215
938,1267
941,1201
942,1252
943,1152
944,1016
946,1185
949,1230
950,1041
950,1044
950,1045
950,1054
950,1072
950,1085
951,1008
951,1010
951,1067
951,1093
951,1150
951,1190
951,1191
951,1194
952,1024
952,1037
952,1057
952,1099
952,1138
952,1161
952,1200
952,1225
953,1083
953,1158
967,1251
968,1216
969,1134
971,1001
972,1222
973,1007
974,1021
975,1036
976,1064
977,1029
978,1006
978,1015
978,1022
978,1061
978,1074
978,1080
978,1081
978,1088
978,1091
978,1111
978,1114
978,1126
978,1132
978,1133
978,1139
978,1147
978,1149
978,1157
978,1179
978,1196
978,1206
978,1207
978,1213
980,1235
981,1087
982,1007
985,1178
986,1032
1001,1007
1002,1011
1003,1011
1004,1011
1005,1011
1006,1036
1007,1036
1008,1027
1009,1032
1010,1032
1011,1032
1012,1032
1013,1153
1014,1098
1015,1058
1016,1113
1017,1113
1018,1106
1019,1125
1020,1128
1021,1132
1022,1130
1023,1139
1024,1137
1025,1145
1026,1152
1027,1160
1028,1175
1029,1175
1030,1267
1031,1268
1032,1234
1033,1243
1034,1243
1035,1247
1036,1272
1037,1064
1038,1252
1039,1003
1040,1099
