from_currency,to_currency,timePointYears,split_year,Value
AED,USD,2019,0,0.2722940776
AED,USD,2018,0,0.2722940776
AED,USD,2017,0,0.2722940776
AED,USD,2016,0,0.2722940776
AED,USD,2015,0,0.2722940776
AED,USD,2014,0,0.2722940776
AED,USD,2013,0,0.2722940776
AED,USD,2012,0,0.2722940776
AED,USD,2011,0,0.2722940776
AED,USD,2010,0,0.2722940776
AED,USD,2009,0,0.2722900000
AED,USD,2008,0,0.2722940800
AED,USD,2007,0,0.2722940800
AED,USD,2006,0,0.2722900000
AED,USD,2005,0,0.2722900000
AED,USD,2004,0,0.2722900000
AED,USD,2003,0,0.2722900000
AED,USD,2002,0,0.2722800000
AED,USD,2001,0,0.2722940000
AED,USD,2000,0,0.2722900000
AED,USD,1999,0,0.2722934000
AED,USD,1998,0,0.2724100000
AED,USD,1997,0,0.2724100000
AED,USD,1996,0,0.2724100000
AED,USD,1995,0,0.2724100000
AED,USD,1994,0,0.2724100000
AED,USD,1993,0,0.2724100000
AED,USD,1992,0,0.2724100000
AED,USD,1991,0,0.2724100000
AED,USD,1990,0,0.2724100000
AED,USD,1989,0,0.2724100000
AED,USD,1988,0,0.2724100000
AED,USD,1987,0,0.2724100000
AED,USD,1986,0,0.2724100000
AED,USD,1985,0,0.2724100000
AED,USD,1984,0,0.2724100000
AED,USD,1983,0,0.2724100000
AED,USD,1982,0,0.2724100000
AED,USD,1981,0,0.2724100000
AED,USD,1980,0,0.2697500000
AED,USD,1979,0,0.2620900000
AED,USD,1978,0,0.2583000000
AED,USD,1977,0,0.2556000000
AED,USD,1976,0,0.2531600000
AFA,USD,2002,0,0.0003300000
AFA,USD,2001,0,0.0003300000
AFA,USD,2000,0,0.0003300000
AFA,USD,1999,0,0.0003300000
AFA,USD,1998,0,0.0003300000
AFA,USD,1997,0,0.0003300000
AFA,USD,1996,0,0.0051730000
AFA,USD,1995,0,0.0197630000
AFA,USD,1994,0,0.0197630000
AFA,USD,1993,0,0.1976300000
AFA,USD,1992,0,0.1976300000
AFA,USD,1991,0,0.1976300000
AFA,USD,1990,0,0.1976300000
AFA,USD,1989,0,0.1976300000
AFA,USD,1988,0,0.1976300000
AFA,USD,1987,0,0.1976300000
AFA,USD,1986,0,0.1976300000
AFA,USD,1985,0,0.1976300000
AFA,USD,1984,0,0.1976300000
AFA,USD,1983,0,0.1976300000
AFA,USD,1982,0,0.1976300000
AFA,USD,1981,0,0.2013700000
AFA,USD,1980,0,0.2259000000
AFA,USD,1979,0,0.2295100000
AFA,USD,1978,0,0.2222200000
AFA,USD,1977,0,0.2222200000
AFA,USD,1976,0,0.2222200000
AFN,USD,2019,0,0.0128637301
AFN,USD,2018,0,0.0138728490
AFN,USD,2017,0,0.0147000663
AFN,USD,2016,0,0.0147349002
AFN,USD,2015,0,0.0163549785
AFN,USD,2014,0,0.0174680117
AFN,USD,2013,0,0.0180578755
AFN,USD,2012,0,0.0196381089
AFN,USD,2011,0,0.0213917435
AFN,USD,2010,0,0.0215273847
