"M49";"COUNTRY_NAME";"ERROR_TYPE" 
"10";"Antartica";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"108";"Burundi";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"116";"Cambodia";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"12";"Algeria";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"120";"Cameroon";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"124";"Canada";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"1248";"China";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"132";"Cabo Verde";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"136";"Cayman Islands";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"140";"Central African Republic";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"144";"Sri Lanka";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"148";"Chad";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"152";"Chile";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"156";"China";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"158";"Taiwan Province of China";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"16";"American Samoa";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"162";"Christmas Is";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"166";"Cocos Is";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"170";"Colombia";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"174";"Comoros";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"178";"Congo";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"184";"Cook Islands";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"188";"Costa Rica";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"192";"Cuba";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"204";"Benin";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"208";"Denmark";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"212";"Dominica";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"214";"Dominican Republic";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"230";"UNKNOWN NAME";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"231";"Ethiopia";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"234";"UNKNOWN NAME";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"238";"Falkland Islands (Malvinas)";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"239";"SouthGeorgia/Sandwich Is";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"242";"Fiji";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"258";"French Polynesia";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"262";"Djibouti";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"266";"Gabon";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
"268";"Georgia";"Has no valid START_DATE_ISO/END_DATE_ISO in mappings"
