International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Afghanistan, Islamic Rep. of","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",38.69,38.69,38.69,38.69,38.38,34.93,34.93,34.93,34.93,33.85,34.37,38.56,39.28,39.28,39.28,39.28,39.28,39.28,39.28,39.28,39.28,39.28,39.28,39.28,38.82,36.57,47.50,47.50,47.50,46.62,47.36,47.50,47.26,48.76,47.85,49.49,49.93,49.96,50.25,50.33,46.45,46.75,50.92,55.38,57.25,61.14,67.87,68.03,72.08,77.74,
Albania,"Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",,,,,,,,,,,,,,,,,,,,,,,75.03,102.06,94.62,92.70,104.50,148.93,150.63,137.69,143.71,143.48,140.15,121.86,102.78,99.87,98.10,90.43,83.89,94.98,103.94,100.90,108.18,105.67,105.48,125.96,124.14,119.10,107.99,109.85,108.65
Algeria,"Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",4.94,4.91,4.48,3.96,4.18,3.95,4.16,4.15,3.97,3.85,3.84,4.32,4.59,4.79,4.98,5.03,4.70,4.85,5.91,7.61,8.96,18.47,21.84,23.35,35.06,47.66,54.75,57.71,58.74,66.57,75.26,77.22,79.68,77.39,72.06,73.28,72.65,69.29,64.58,72.65,74.39,72.94,77.54,79.37,80.58,100.69,109.44,110.97,116.59,119.35,
Angola,"Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.23,0.39,2.79,10.04,22.06,43.53,74.61,83.54,87.16,80.37,76.71,75.03,79.33,91.91,93.93,95.47,96.52,98.30,120.06,163.66,165.92,252.86,364.83,
Anguilla,"Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",2.00,1.96,1.92,1.96,2.05,2.17,2.61,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
Antigua and Barbuda,"Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",2.00,1.97,1.92,1.96,2.05,2.17,2.61,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70,2.70
Argentina,"Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.49,0.95,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,3.06,2.90,2.92,2.90,3.05,3.10,3.14,3.71,3.90,4.11,4.54,5.46,8.08,9.23,14.76,16.56,28.09,48.15,70.54
"Armenia, Rep. of","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",,,,,,,,,,,,,,,,,,,,,,,,9.11,288.65,405.91,414.04,490.85,504.92,535.06,539.53,555.08,573.35,578.76,533.45,457.69,416.04,342.08,305.97,363.28,373.66,372.50,401.76,409.63,415.92,477.92,480.49,482.72,482.99,480.45,489.01
"Aruba, Kingdom of the Netherlands","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",,,,,,,,,,,,,,,,,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
Australia,"Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",0.89,0.88,0.84,0.70,0.70,0.76,0.82,0.90,0.87,0.89,0.88,0.87,0.99,1.11,1.14,1.43,1.50,1.43,1.28,1.26,1.28,1.28,1.36,1.47,1.37,1.35,1.28,1.35,1.59,1.55,1.72,1.93,1.84,1.54,1.36,1.31,1.33,1.20,1.19,1.28,1.09,0.97,0.97,1.04,1.11,1.33,1.35,1.30,1.34,1.44,1.45
Austria,"Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",26.00,24.99,23.12,19.58,18.69,17.42,17.94,16.53,14.52,13.37,12.94,15.93,17.06,17.96,20.01,20.69,15.27,12.64,12.35,13.23,11.37,11.68,10.99,11.63,11.42,10.08,10.59,12.20,12.38,,,,,,,,,,,,,,,,,,,,,,
"Azerbaijan, Rep. of","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.31,0.88,0.86,0.80,0.77,0.82,0.89,0.93,0.97,0.98,0.98,0.95,0.89,0.86,0.82,0.80,0.80,0.79,0.79,0.78,0.78,1.02,1.60,1.72,1.70,1.70,
"Bahamas, The","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
"Bahrain, Kingdom of","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",0.48,0.47,0.44,0.40,0.39,0.40,0.40,0.40,0.39,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
Bangladesh,"Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",,7.87,7.70,7.85,8.23,12.19,15.40,15.38,15.02,15.55,15.45,17.99,22.12,24.62,25.35,27.99,30.41,30.95,31.73,32.27,34.57,36.60,38.95,39.57,40.21,40.28,41.79,43.89,46.91,49.09,52.14,55.81,57.89,58.15,59.51,64.33,68.93,68.87,68.60,69.04,69.65,74.15,81.86,78.10,77.64,77.95,78.47,80.44,83.47,84.45,84.87
Barbados,"Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",2.00,1.97,1.92,1.96,2.05,2.02,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
"Belarus, Rep. of","Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.14,0.18,0.21,0.22,0.22,0.21,0.21,0.21,0.28,0.30,0.50,0.83,0.89,1.02,1.59,1.99,1.93,2.04,2.09,
Belgium,"Exchange Rates, National Currency Per U.S. Dollar, Period Average, Rate",50.00,49.06,44.01,38.98,38.95,36.78,38.61,35.84,31.49,29.32,29.24,37.13,45.69,51.13,57.78,59.38,44.67,37.33,36.77,39.40,33.42,34.15,32.15,34.60,33.46,29.48,30.96,35.77,36.30,,,,,,,,,,,,,,,,,,,,,,
