iso2,country
5M,AMF (Arab Monetary Fund)
5W,BEAC (Banque des Etats de l`Afrique Centrale)
5B,BIS (Bank for International Settlements)
R1,Belgo-Luxembourg Economic Union
1C_752,Central Bank West Africa
1C_355,Curacao & St. Maarten
CSH,Former Czechoslovakia
5I,ECCB (Eastern Caribbean Central Bank)
DE2,East Germany
U2,Euro area (Member States and Institutions of the Euro Area) changing composition
4F,ECB (European Central Bank)
1E,IBRD (International Bank for Reconstruction and Development)
X0,IMF Member Countries (IMF)
7B,IDB (Islamic Development Bank)
XK,"Kosovo, Republic of"
RW,Rwanda
SUH,Former U.S.S.R.
1C_473,Yemen Arab Rep.
1C_459,"Yemen, P.D. Rep."
YUC,Former Yugoslavia
XR29,Advanced Economies (IMF)
F1,Africa
F19,Africa not allocated
1C_ALLC,All Countries
1C_ALL,All Countries and Country Groups
W0,"World (all areas, including reference area, including IO)"
1C_All_Countries_Published,All Countries Published
1C_ALLG,All Country Groups
R16,APEC (Asia-Pacific Economic Co-operation)
5O,BCEAO (Banque Centrale des Etats de l`Afrique de l`Ouest)
5X,CEMAC
1C_904,Central and eastern Europe
R14,Community of Independent States (CIS)
Countries_Home_Portal_Presentation,Countries Home Portal Presentation
F3,Eastern Africa deprecated
5Y,Eastern Caribbean Currency Union
XS25,Developing Asia (IMF)
XR43,Emerging and Developing Countries
1C_903,Emerging and Developing Europe
1C_994,EPU/EF
1C_EMU,1C_EMU
E1,Europe
1C_080,Export earnings: fuel
1C_092,Export earnings: nonfuel
F97,Middle East
F98,Middle East and North Africa (MENA)
1C_Middle_East_and_Central_Asia,Middle East and Central Asia
1C_440,"Middle East, North Africa, Afghanistan, and Pakistan"
1C_NANSA,National Accounts (NSA) Countries
1C_NASA,National Accounts (SA) Countries
XR44,Non-oil Developing Countries (IMF)
1C_NSC,Non SRF countries
XR21,Oil-exporting Countries (IMF)
XA69,Other Central America not allocated (IMF)
1C_970,Other Holders
1C_SRF_less_EMU,SRF (excluding EA)
1C_SRF_plus_EMU,SRF (including EA)
1C_SRF,SRF Countries
F6,Sub-Saharan Africa
7A,WAEMU (West African Economic and Monetary Union)
A10,Western Hemisphere
W00,"All Countries, excluding the IO"
