Target,Code_iso,Start_Year_iso,End_Year_iso,Name_En_iso,Code_m49,Start_Year_m49,End_Year_m49,Name_En_m49
1002,NA,NA,NA,NA,248,2003,9999,Aland Islands
1005,NA,NA,NA,NA,16,1900,9999,American Samoa
1009,NA,NA,NA,NA,10,1900,9999,Antarctica
1028,NA,NA,NA,NA,535,2010,9999,"Bonaire, Sint Eustatius and Saba"
1031,NA,NA,NA,NA,74,1900,9999,Bouvet Island
1033,NA,NA,NA,NA,86,1900,9999,British Indian Ocean Territory
1050,NA,NA,NA,NA,162,1900,9999,Christmas Island
1051,NA,NA,NA,NA,166,1900,9999,Cocos (Keeling) Islands
1078,NA,NA,NA,NA,234,1900,9999,Faroe Islands
1082,NA,NA,NA,NA,254,1900,9999,French Guiana
1084,NA,NA,NA,NA,260,1900,9999,French Southern Territories
1094,NA,NA,NA,NA,312,1900,9999,Guadeloupe
1095,NA,NA,NA,NA,316,1900,9999,Guam
1097,NA,NA,NA,NA,831,2005,9999,Guernsey
1102,NA,NA,NA,NA,334,1900,9999,Heard Island and McDonald Islands
1103,NA,NA,NA,NA,336,1900,9999,Holy See
1112,NA,NA,NA,NA,833,1900,9999,Isle of Man
1117,NA,NA,NA,NA,832,2005,9999,Jersey
1122,NA,NA,NA,NA,412,,,Kosovo
1141,NA,NA,NA,NA,474,1900,9999,Martinique
1144,NA,NA,NA,NA,175,2002,9999,Mayotte
1163,NA,NA,NA,NA,570,1900,9999,Niue
1164,NA,NA,NA,NA,574,1900,9999,Norfolk Island
1166,NA,NA,NA,NA,580,1991,9999,Northern Mariana Islands
1177,NA,NA,NA,NA,612,1900,9999,Pitcairn
1184,NA,NA,NA,NA,638,1900,9999,Réunion
1188,NA,NA,NA,NA,652,2007,9999,Saint Barthélemy
1192,NA,NA,NA,NA,663,2007,9999,Saint Martin (French Part)
1193,NA,NA,NA,NA,666,1900,9999,Saint Pierre and Miquelon
1198,NA,NA,NA,NA,680,1900,9999,Sark
1211,NA,NA,NA,NA,239,1900,9999,South Georgia and the South Sandwich Islands
1217,NA,NA,NA,NA,744,1900,9999,Svalbard and Jan Mayen Islands
1226,NA,NA,NA,NA,772,1900,9999,Tokelau
1239,NA,NA,NA,NA,836,,,United Republic of Tanzania Zanzibar
1240,NA,NA,NA,NA,581,1986,9999,United States Minor Outlying Islands
1242,NA,NA,NA,NA,850,1900,9999,United States Virgin Islands
1248,NA,NA,NA,NA,876,1900,9999,Wallis and Futuna Islands
1249,NA,NA,NA,NA,732,1900,9999,Western Sahara
1253,NA,NA,NA,NA,58,1900,1999,Belgium-Luxembourg [former]
1254,NA,NA,NA,NA,128,1900,1984,Canton and Enderbury Islands [former]
1258,NA,NA,NA,NA,274,1900,1995,Gaza Strip [former]
1260,NA,NA,NA,NA,280,1900,1990,Germany Federal Republic of [former]
1261,NA,NA,NA,NA,396,1900,1986,Johnston Island [former]
1262,NA,NA,NA,NA,488,1900,1986,Midway Island [former]
1264,NA,NA,NA,NA,532,1900,1986,Netherlands Antilles [former pre-1986]
1265,NA,NA,NA,NA,582,1900,1991,Pacific Islands (Trust Territory) [former]
1266,NA,NA,NA,NA,891,1992,2006,Serbia and Montenegro [former]
1269,NA,NA,NA,NA,872,1900,1986,Wake Island [former]
1270,NA,NA,NA,NA,402,1900,1995,West Bank [former]
1275,NA,NA,NA,NA,381,,,Italy - San Marino - Holy See
1276,NA,NA,NA,NA,835,,,United Republic of Tanzania mainland (ex Tanganyika)
2031,NA,NA,NA,NA,830,,,Channel Islands
