"fk_DataHistory_AreaCode_Area";"fk_DataHistory_ItemCode_Item";"fk_DataHistory_ElementCode_Element";"DataHistory_Year";"DataHistory_Value";"fk_DataHistory_SymbolCode_Symbol";"DataHistory_Note";"fk_DataHistory_DataSourceIssueID_DataSourceIssue";"DataHistory_Author";"DataHistory_UpdateDate";"DataHistory_RecordNo";"fk_DataHistory_SourceID_Sources";"DataHistory_SourceVolume";"DataHistory_SourceNote";"fk_DataHistory_CurrencyCode_Currency";"DataHistory_Supervisor";"DataHistory_ValidateFlag"
"2";"462";"5530";"1991";"4339.0";"F ";"AQ 2004 ";;"FAOSTAT";"2006-12-01 00:00:00";"1";;;;"AFN";"FAOSTAT";"N"
"2";"462";"5530";"1992";"4339.0";"F ";"AQ 2004 ";;"FAOSTAT";"2006-12-01 00:00:00";"1";;;;"AFN";"FAOSTAT";"N"
"2";"462";"5530";"1993";"4339.0";"F ";"AQ 2004 ";;"FAOSTAT";"2006-12-01 00:00:00";"1";;;;"AFN";"FAOSTAT";"N"
"2";"462";"5530";"1994";"4339.0";"F ";"AQ 2004 ";;"FAOSTAT";"2006-12-01 00:00:00";"1";;;;"AFN";"FAOSTAT";"N"
"2";"462";"5530";"1995";"8059.0";"F ";"AQ 2004 ";;"FAOSTAT";"2006-12-01 00:00:00";"1";;;;"AFN";"FAOSTAT";"N"
"2";"462";"5530";"1996";"10910.0";"F ";"AQ 2004 ";;"FAOSTAT";"2006-12-01 00:00:00";"1";;;;"AFN";"FAOSTAT";"N"
"2";"462";"5530";"1997";"13638.0";"F ";"AQ 2004 ";;"FAOSTAT";"2006-12-01 00:00:00";"1";;;;"AFN";"FAOSTAT";"N"
"2";"462";"5530";"1998";"16614.0";"F ";"AQ 2004 ";;"FAOSTAT";"2006-12-01 00:00:00";"1";;;;"AFN";"FAOSTAT";"N"
"2";"462";"5530";"1999";"20581.0";"F ";"AQ 2004 ";;"FAOSTAT";"2006-12-01 00:00:00";"1";;;;"AFN";"FAOSTAT";"N"
"2";"462";"5530";"2000";"21077.0";"F ";"AQ 2004 ";;"FAOSTAT";"2006-12-01 00:00:00";"1";;;;"AFN";"FAOSTAT";"N"
"2";"462";"5530";"2001";"20333.0";"F ";"AQ 2004 ";;"FAOSTAT";"2006-12-01 00:00:00";"1";;;;"AFN";"FAOSTAT";"N"
"2";"462";"5530";"2002";"20581.0";"F ";"AQ 2004 ";;"FAOSTAT";"2006-12-01 00:00:00";"1";;;;"AFN";"FAOSTAT";"N"
"2";"462";"5530";"2003";"20832.0";"F ";"AQ 2004 ";;"FAOSTAT";"2006-12-01 00:00:00";"1";;;;"AFN";"FAOSTAT";"N"
"2";"462";"5530";"2004";"22568.2";"Ft";"item variation & DGP deflator";;"fabi";"2007-04-10 15:19:54";"1";;"";"";"AFN ";"fabi";" "
"2";"462";"5530";"2004";"19735.6";"Ft";"based on melons";;"fabi";"2008-05-07 17:34:33";"2";;"";"";"AFN ";"fabi";" "
"2";"462";"5530";"2005";"23491.4";"Ft";"item variation & DGP deflator";;"fabi";"2007-04-10 14:55:14";"1";;"";"";"AFN ";"fabi";" "
"2";"462";"5530";"2005";"16665.6";"Ft";"based on melons";;"fabi";"2008-05-07 17:34:33";"2";;"";"";"AFN ";"fabi";" "
"2";"462";"5530";"2006";"18344.1";"Ft";"based on GDP deflator";;"fabi";"2008-05-07 17:34:33";"1";;"";"";"AFN ";"fabi";" "
"2";"462";"5531";"1991";"4339.0";"F ";"AQ 2004 ";;"FAOSTAT";"2006-12-01 00:00:00";"1";;;;"AFN ";"FAOSTAT";"N"
