"fk_datahistory_areacode_area","fk_datahistory_itemcode_item","fk_datahistory_elementcode_element","datahistory_year","datahistory_value","fk_datahistory_symbolcode_symbol","datahistory_note","fk_datahistory_datasourceissueid_datasourceissue","datahistory_author","datahistory_updatedate","datahistory_recordno","fk_datahistory_sourceid_sources","datahistory_sourcevolume","datahistory_sourcenote","fk_datahistory_currencycode_currency","datahistory_supervisor","datahistory_validateflag"
2,462,5530,1991,4339,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5530,1992,4339,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5530,1993,4339,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5530,1994,4339,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5530,1995,8059,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5530,1996,10910,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5530,1997,13638,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5530,1998,16614,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5530,1999,20581,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5530,2000,21077,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5530,2001,20333,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5530,2002,20581,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5530,2003,20832,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5530,2004,22568.2,"Ft","item variation & DGP deflator",NA,"fabi","Apr 10 2007  3:19PM",1,NA,"",NA,"AFN","fabi",""
2,462,5530,2004,19735.6,"Ft","based on melons",NA,"fabi","May  7 2008  5:34PM",2,NA,"",NA,"AFN","fabi",""
2,462,5530,2005,23491.4,"Ft","item variation & DGP deflator",NA,"fabi","Apr 10 2007  2:55PM",1,NA,"",NA,"AFN","fabi",""
2,462,5530,2005,16665.6,"Ft","based on melons",NA,"fabi","May  7 2008  5:34PM",2,NA,"",NA,"AFN","fabi",""
2,462,5530,2006,18344.1,"Ft","based on GDP deflator",NA,"fabi","May  7 2008  5:34PM",1,NA,"",NA,"AFN","fabi",""
2,462,5531,1991,4339,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5531,1992,4339,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5531,1993,4339,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5531,1994,4339,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5531,1995,8059,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5531,1996,10910,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5531,1997,13638,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5531,1998,16614,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
2,462,5531,1999,20581,"F","AQ 2004",NA,"FAOSTAT","Dec  1 2006 12:00AM",1,NA,"",NA,"AFN","FAOSTAT","N"
