"fal","m49"
"1","51"
"2","4"
"3","8"
"4","12"
"5","16"
"6","20"
"7","24"
"8","28"
"9","32"
"10","36"
"11","40"
"12","44"
"13","48"
"14","52"
"15","58"
"16","50"
"17","60"
"18","64"
"19","68"
"20","72"
"21","76"
"23","84"
"24","86"
"25","90"
"26","96"
"27","100"
"28","104"
"29","108"
"30","10"
"31","74"
"32","120"
"33","124"
"34","128"
"35","132"
"36","136"
"37","140"
"38","144"
"39","148"
"40","152"
"42","162"
"43","166"
"44","170"
"45","174"
"46","178"
"47","184"
"48","188"
"49","192"
"50","196"
"51","200"
"52","31"
"53","204"
"54","208"
"55","212"
"56","214"
"57","112"
"58","218"
"59","818"
"60","222"
"61","226"
"62","230"
"63","233"
"64","234"
"65","238"
"66","242"
"67","246"
"68","250"
"69","254"
"70","258"
"71","260"
"72","262"
"73","268"
"74","266"
"75","270"
"76","274"
"77","278"
"78","280"
"79","276"
"80","70"
"81","288"
"82","292"
"83","296"
"84","300"
"85","304"
"86","308"
"87","312"
"88","316"
"89","320"
"90","324"
"91","328"
"92","334"
"93","332"
"94","336"
"95","340"
"96","344"
"97","348"
"98","191"
"99","352"
"100","356"
"101","360"
"102","364"
"103","368"
"104","372"
"105","376"
"106","380"
"107","384"
"108","398"
"109","388"
"110","392"
"111","396"
"112","400"
"113","417"
"114","404"
"115","116"
"116","408"
"117","410"
"118","414"
"119","428"
"120","418"
"121","422"
"122","426"
"123","430"
"124","434"
"125","438"
"126","440"
"127","584"
"128","446"
"129","450"
"130","454"
"131","458"
"132","462"
"133","466"
"134","470"
"135","474"
"136","478"
"137","480"
"138","484"
"139","488"
"140","492"
"141","496"
"142","500"
"143","504"
"144","508"
"145","583"
"146","498"
"147","516"
"148","520"
"149","524"
"150","528"
"151","530"
"152","536"
"153","540"
"154","807"
"155","548"
"156","554"
"157","558"
"158","562"
"159","566"
"160","570"
"161","574"
"162","578"
"163","580"
"164","582"
"165","586"
"166","591"
"167","203"
"168","598"
"169","600"
"170","604"
"171","608"
"172","612"
"173","616"
"174","620"
"175","624"
"176","626"
"177","630"
"178","232"
"179","634"
"180","585"
"181","716"
"182","638"
"183","642"
"184","646"
"185","643"
"186","891"
"187","654"
"188","659"
"189","662"
"190","666"
"191","670"
"192","674"
"193","678"
"194","682"
"195","686"
"196","690"
"197","694"
"198","705"
"199","703"
"200","702"
"201","706"
"202","710"
"203","724"
"205","732"
"207","740"
"208","762"
"209","748"
"210","752"
"211","756"
"212","760"
"213","795"
"214","158"
"215","834"
"216","764"
"217","768"
"218","772"
"219","776"
"220","780"
"221","512"
"222","788"
"223","792"
"224","796"
"225","784"
"226","800"
"227","798"
"228","810"
"229","826"
"230","804"
"231","840"
"232","581"
"233","854"
"234","858"
"235","860"
"236","862"
"237","704"
"238","231"
"239","92"
"240","850"
"242","872"
"243","876"
"244","882"
"245","402"
"246","886"
"247","720"
"248","890"
"249","887"
"250","180"
"251","894"
"255","56"
"256","442"
"258","660"
"259","830"
"260","744"
"264","833"
"270","175"
"272","688"
"273","499"
"277","728"
"299","275"
"274","831"
"279","531"
"280","534"
"281","663"
"283","832"
"206","736"
"276","729"
"22","533"
"41","1248"
