country_code,country,cpc2convert,item2convert,cpc_reference,item_reference,tcf
8,Albania,21111.01,"Meat indigenous, cattle",21111.01b,"Meat live weight, cattle",0.53
8,Albania,21121,"Meat indigenous, chicken",21121b,"Meat live weight, chicken",0.75
8,Albania,21116,"Meat indigenous, goat",21116b,"Meat live weight, goat",0.58
8,Albania,21113.01,"Meat indigenous, pig",21113.01b,"Meat live weight, pig",0.68
8,Albania,21115,"Meat indigenous, sheep",21115b,"Meat live weight, sheep",0.56
8,Albania,21124,"Meat indigenous, turkey",21124b,"Meat live weight, turkey ",0.72
12,Algeria,21111.01b,"Meat live weight, cattle",21111.01,"Meat indigenous, cattle",1.92
12,Algeria,21121b,"Meat live weight, chicken",21121,"Meat indigenous, chicken",1.32
31,Azerbaijan,143,Cottonseed,1921.01,Seed cotton,5.88
31,Azerbaijan,232,"Eggs, other bird, in shell",231," Eggs, hen, in shell",1
31,Azerbaijan,21111.01b,"Meat live weight, cattle",21111.01,"Meat indigenous, cattle",1.72
31,Azerbaijan,21121b,"Meat live weight, chicken",21121,"Meat indigenous, chicken",1.4
31,Azerbaijan,21118.01b,"Meat live weight, horse",21118.01,"Meat indigenous, horse",2.13
31,Azerbaijan,21113.01b,"Meat live weight, pig",21113.01,"Meat indigenous, pig",2.5
31,Azerbaijan,21115b,"Meat live weight, sheep",21115,"Meat indigenous, sheep",1.3
31,Azerbaijan,21124b,"Meat live weight, turkey",21124,"Meat indigenous, turkey",1.72
36,Australia,1195,Canary seed,1191, Triticale,1
36,Australia,1359.01,Persimmons,1352, Kiwi fruit,1
36,Australia,1342.02,Quinces,1342.01, Pears,1
36,Australia,1290.9,"Vegetables, fresh nes",1290.01," Maize, green",1
40,Austria,1355.9,Berries nes,1351.02, Currants,1
51,Armenia,232,"Eggs, other bird, in shell",231," Eggs, hen, in shell",1
51,Armenia,112,Maize,111, Wheat,1
51,Armenia,21114b,"Meat live weight, rabbit",21114,"Meat indigenous, rabbit",1.32
56,Belgium,21111.01,"Meat indigenous, cattle",21111.01b,"Meat live weight, cattle",0.54
56,Belgium,21121,"Meat indigenous, chicken",21121b,"Meat live weight, chicken",0.72
56,Belgium,21118.01,"Meat indigenous, horse",21118.01b,"Meat live weight, horse",0.49
56,Belgium,21113.01,"Meat indigenous, pig",21113.01b,"Meat live weight, pig",0.79
56,Belgium,21115,"Meat indigenous, sheep",21115b,"Meat live weight, sheep",0.5
68,Bolivia (Plurinational State of),23511.01,"Sugar, cane, raw, centrifugal",1802,Sugar cane,0.04
70,Bosnia and Herzegovina,21111.01b,"Meat live weight, cattle",21111.01,"Meat indigenous, cattle",1.67
70,Bosnia and Herzegovina,21121b,"Meat live weight, chicken",21121,"Meat indigenous, chicken",1.33
70,Bosnia and Herzegovina,21113.01b,"Meat live weight, pig",21113.01,"Meat indigenous, pig",1.23
70,Bosnia and Herzegovina,21115b,"Meat live weight, sheep",21115,"Meat indigenous, sheep",1.92
70,Bosnia and Herzegovina,21124b,"Meat live weight, turkey",21124,"Meat indigenous, turkey",1.33
100,Bulgaria,143,Cottonseed,1921.02,Cotton lint,12.5
100,Bulgaria,21112,"Meat indigenous, buffalo",21112b,"Meat live weight, buffalo",0.51
100,Bulgaria,21111.01,"Meat indigenous, cattle",21111.01b,"Meat live weight, cattle",0.51
100,Bulgaria,21121,"Meat indigenous, chicken",21121b,"Meat live weight, chicken",0.72
100,Bulgaria,21116,"Meat indigenous, goat",21116b,"Meat live weight, goat",0.42
100,Bulgaria,21113.01,"Meat indigenous, pig",21113.01b,"Meat live weight, pig",0.66
100,Bulgaria,21115,"Meat indigenous, sheep",21115b,"Meat live weight, sheep",0.42
100,Bulgaria,1921.01,Seed cotton,1921.02,Cotton lint,3.33
112,Belarus,21111.01,"Meat indigenous, cattle",21111.01b,"Meat live weight, cattle",0.57
