timepointyears,geographicaream49,toi_aff
1992,51,0.1757
1993,51,0.1805
1994,51,0.3463
1995,51,0.3509
1996,51,0.3694
1997,51,0.3597
1998,51,0.362
1999,51,0.2882
2000,51,0.3756
2001,51,0.3078
2002,51,0.3193
2003,51,0.2924
2004,51,0.3118
2005,51,0.2751
2006,51,0.2697
2007,51,0.3576
2008,51,0.2802
2009,51,0.2496
2010,51,0.326
2011,51,0.2979
2012,51,0.2954
2013,51,0.257
2014,51,0.2408
2015,51,0.2199
2016,51,0.2504
2017,51,0.2837
2018,51,0.3035
1970,36,0.7005
1971,36,0.8
1972,36,0.9682
1973,36,0.6987
1974,36,0.6026
1975,36,0.7191
1976,36,0.721
1977,36,0.8031
1978,36,0.7079
1979,36,0.6476
1980,36,1.1944
1981,36,0.7885
1982,36,1.0815
1983,36,0.6155
1984,36,0.7667
1985,36,1.1475
1986,36,1.128
1987,36,1.0273
1988,36,0.8666
1989,36,0.7614
1990,36,0.791
1991,36,0.8495
1992,36,0.6908
1993,36,0.7651
1994,36,1.0899
1995,36,0.7446
1996,36,0.9524
1997,36,1.0882
1998,36,0.8822
1999,36,0.9186
2000,36,0.9101
2001,36,0.8124
2002,36,1.0569
2003,36,0.6744
2004,36,0.9334
2005,36,0.763
2006,36,0.9723
2007,36,0.6554
2008,36,0.6098
2009,36,0.7762
2010,36,0.7751
2011,36,0.8376
2012,36,1.0512
2013,36,0.9682
2014,36,0.9731
2015,36,1.0738
2016,36,0.9602
2017,36,1.196
2018,36,1.1171
1970,356,0.0317
1971,356,0.0257
1972,356,0.0178
1973,356,0.032
1974,356,0.0374
1975,356,0.0445
1976,356,0.0502
1977,356,0.0205
1978,356,0.0188
1979,356,0.0249
1980,356,0.0218
1981,356,0.0238
1982,356,0.0247
1983,356,0.0289
1984,356,0.0236
1985,356,0.0217
1986,356,0.0227
1987,356,0.0223
1988,356,0.0235
1989,356,0.0191
1990,356,0.0179
1991,356,0.0193
1992,356,0.0226
1993,356,0.0234
1994,356,0.0247
1995,356,0.0361
1996,356,0.0347
1997,356,0.0334
1998,356,0.0372
1999,356,0.0338
2000,356,0.0309
2001,356,0.0418
2002,356,0.0516
2003,356,0.0517
2004,356,0.0481
2005,356,0.0487
2006,356,0.064
2007,356,0.0702
2008,356,0.0614
2009,356,0.0611
2010,356,0.0503
2011,356,0.0654
2012,356,0.0846
2013,356,0.0902
2014,356,0.0829
2015,356,0.077
2016,356,0.0736
2017,356,0.0811
2018,356,0.0732
1970,360,0.0715
1971,360,0.0643
1972,360,0.0653
1973,360,0.0806
1974,360,0.0764
1975,360,0.0702
1976,360,0.0805
1977,360,0.0815
1978,360,0.0853
1979,360,0.088
1980,360,0.0948
1981,360,0.0738
1982,360,0.0688
1983,360,0.0777
1984,360,0.0681
1985,360,0.0749
1986,360,0.0712
1987,360,0.0796
1988,360,0.0856
1989,360,0.0928
1990,360,0.0886
1991,360,0.0985
1992,360,0.1005
1993,360,0.1077
1994,360,0.1251
1995,360,0.1312
1996,360,0.1332
1997,360,0.1292
1998,360,0.1273
1999,360,0.164
2000,360,0.1603
2001,360,0.148
2002,360,0.1709
2003,360,0.16
2004,360,0.1838
2005,360,0.2017
2006,360,0.2217
2007,360,0.2119
2008,360,0.2196
2009,360,0.2279
2010,360,0.2336
2011,360,0.2549
2012,360,0.2596
2013,360,0.2641
2014,360,0.2722
2015,360,0.2882
2016,360,0.2669
2017,360,0.2808
2018,360,0.2762
1970,364,0.0816
1971,364,0.1437
1972,364,0.126
1973,364,0.1365
1974,364,0.1736
1975,364,0.1857
